Category,Name,RelativePath,HrefPath,Length,LastWriteTime
00 ASHRAE,2015-Ashrae-Handbook-Hvac-Applications-2015.pdf,00 Codes\00 ASHRAE\Handbooks\2015-Ashrae-Handbook-Hvac-Applications-2015.pdf,../00 Codes/00 ASHRAE/Handbooks/2015-Ashrae-Handbook-Hvac-Applications-2015.pdf,45326057,2022-05-27 13:48
00 ASHRAE,2023-HVAC APPLICATIONS-IP.pdf,00 Codes\00 ASHRAE\Handbooks\2023-HVAC APPLICATIONS-IP.pdf,../00 Codes/00 ASHRAE/Handbooks/2023-HVAC APPLICATIONS-IP.pdf,390929189,2023-06-26 11:44
00 ASHRAE,2023-HVAC APPLICATIONS-SI.pdf,00 Codes\00 ASHRAE\Handbooks\2023-HVAC APPLICATIONS-SI.pdf,../00 Codes/00 ASHRAE/Handbooks/2023-HVAC APPLICATIONS-SI.pdf,385921137,2023-06-26 11:41
00 ASHRAE,ASHRAE HVAC Applications Handbook - 2015 - Imperial.pdf,00 Codes\00 ASHRAE\Handbooks\ASHRAE HVAC Applications Handbook - 2015 - Imperial.pdf,../00 Codes/00 ASHRAE/Handbooks/ASHRAE HVAC Applications Handbook - 2015 - Imperial.pdf,162538313,2018-05-09 10:15
00 ASHRAE,ASHRAE HVAC Applications Handbook - 2015 - SI.pdf,00 Codes\00 ASHRAE\Handbooks\ASHRAE HVAC Applications Handbook - 2015 - SI.pdf,../00 Codes/00 ASHRAE/Handbooks/ASHRAE HVAC Applications Handbook - 2015 - SI.pdf,160132090,2018-05-09 10:15
00 ASHRAE,ASHRAE Refrigeration Handbook  - 2014 - SI.pdf,00 Codes\00 ASHRAE\Handbooks\ASHRAE Refrigeration Handbook  - 2014 - SI.pdf,../00 Codes/00 ASHRAE/Handbooks/ASHRAE Refrigeration Handbook  - 2014 - SI.pdf,52592626,2018-05-09 10:17
00 ASHRAE,ASHRAE Systems and Equipment Handbook - 2016 - SI (1).pdf,00 Codes\00 ASHRAE\Handbooks\ASHRAE Systems and Equipment Handbook - 2016 - SI (1).pdf,../00 Codes/00 ASHRAE/Handbooks/ASHRAE Systems and Equipment Handbook - 2016 - SI (1).pdf,143402112,2018-05-09 10:18
00 CSA - Canadian Standards Association,CSA B139 - Installation Code for Oil Burning Equipment - 2015.pdf,00 Codes\00 CSA - Canadian Standards Association\CSA B139 - Installation Code for Oil Burning Equipment - 2015.pdf,../00 Codes/00 CSA - Canadian Standards Association/CSA B139 - Installation Code for Oil Burning Equipment - 2015.pdf,5480134,2018-05-07 14:07
00 CSA - Canadian Standards Association,CSA B149HB - Natural Gas and Propoane Handbook - 2020.pdf,00 Codes\00 CSA - Canadian Standards Association\CSA B149HB - Natural Gas and Propoane Handbook - 2020.pdf,../00 Codes/00 CSA - Canadian Standards Association/CSA B149HB - Natural Gas and Propoane Handbook - 2020.pdf,85329990,2023-09-13 13:28
00 CSA - Canadian Standards Association,CSA B44 - Elevator Code with Alberta Amendments - 2007.pdf,00 Codes\00 CSA - Canadian Standards Association\CSA B44 - Elevator Code with Alberta Amendments - 2007.pdf,../00 Codes/00 CSA - Canadian Standards Association/CSA B44 - Elevator Code with Alberta Amendments - 2007.pdf,3735522,2014-04-16 8:56
